category,S0,S1,S2,S3,S4

?,0.001,0.001,0.001,0.001,1.4045779237216791
?,0.001,0.001,-2.0,0.001,-1.7260522030713363
?,0.001,0.001,-0.4262295081967213,0.001,0.001
?,0.001,0.001,2.19672131147541,0.001,0.001
?,0.001,0.001,0.001,0.001,1.7290663187874777
?,0.001,0.001,0.001,0.001,1.7261463941874657
?,0.001,0.001,0.001,0.001,2.06711823457591
?,0.001,0.001,-2.0,0.001,-2.048468393582288
?,0.001,0.001,0.001,0.001,1.7688149697940856
?,0.001,0.001,0.001,0.001,1.5447343045222328
?,0.001,0.001,0.001,0.001,1.5432272466641617
?,0.001,0.001,0.001,0.001,-1.8330533109943399
